        Time(s)         Temp(K)     Mc(t)/Mc(o)            HMX        INT249a         t_HONO             NO         ONTNTA            NO2        INT295a         c_HONO          ONNO2            H2O        INT202a        INT202c        INT296a     INT296a_RO        INT206e            N2O        INT325a        INT248a        INT233a        INT279a        INT279b        INT101a     INT202c_RO     INT128a_RO        CH2NNO2        INT128a            TAZ        INT132a    INT325a_RO1        INT235b        INT189b    INT325a_RO2        INT251c        INT205c        INT148a        CH2NCHO         INT91a        INT177a        INT120b           CH2O            HCN           CH2N         CH2NNO        INT121a        INT150a         INT75a         INT74a          CH2NH        INT186b     INT186b_RO        INT112c        INT112a        INT280a     INT280a_RO        INT232a    INT233a_RO1        INT159a       CH2NHCHO         INT86a        INT265a     INT235a_RO        INT161a        INT281a        INT251d        INT177b        INT133a    INT103c_cis            HNO             CO         CH2NCO         INT76a         NH2CHO          NH2NO        INT105a         INT75f            N2H        INT206a        INT206b        INT235a     INT159a_RO         INT85d          HCOOH         INT88d        INT162b        INT132d         INT85b        INT161f        INT131b         INT87d        INT115a        INT114a        INT131a        INT207a        INT177c        INT103e        INT191b        INT161b           HNCO         INT90b            CO2           ONNH          NH2CO         INT84f           OCHO            HCO         INT77a           HOCO       CH2NCOOH             N2
          0.000         548.150       1.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
          2.001         548.650       1.000E+00      3.745E-07      0.000E+00      2.220E-12      5.363E-11      0.000E+00      1.558E-10      0.000E+00      6.626E-13      0.000E+00      5.392E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.280E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.811E-17      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.937E-12      9.109E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.737E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.473E-15      8.117E-12      0.000E+00      0.000E+00      3.969E-16      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.074E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.650E-16      0.000E+00      4.048E-16      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
          4.001         549.150       9.999E-01      8.897E-07      0.000E+00      1.193E-11      7.507E-10      0.000E+00      7.314E-10      0.000E+00      3.565E-12      0.000E+00      7.608E-10      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.959E-10      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.884E-16      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.029E-10      1.154E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.544E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.897E-15      1.541E-10      0.000E+00      0.000E+00      1.174E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.655E-10      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.159E-15      0.000E+00      6.634E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
          6.000         549.650       9.999E-01      1.690E-06      0.000E+00      4.795E-11      3.214E-09      0.000E+00      2.229E-09      0.000E+00      1.434E-11      0.000E+00      3.277E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.418E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.140E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.312E-09      5.116E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.440E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.119E-14      5.665E-10      0.000E+00      0.000E+00      1.872E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.632E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.579E-14      0.000E+00      6.315E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
          8.000         550.150       9.998E-01      3.008E-06      0.000E+00      1.901E-10      1.030E-08      0.000E+00      7.005E-09      0.000E+00      5.693E-11      0.000E+00      1.059E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.157E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.515E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.367E-09      1.725E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.360E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.831E-14      1.473E-09      0.000E+00      0.000E+00      3.473E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.411E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.112E-13      0.000E+00      3.550E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
         10.001         550.650       9.996E-01      5.229E-06      0.000E+00      7.531E-10      3.056E-08      0.000E+00      2.232E-08      0.000E+00      2.258E-10      0.000E+00      3.189E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.619E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.934E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.948E-08      5.421E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.053E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.914E-14      3.434E-09      0.000E+00      0.000E+00      7.467E-15      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.230E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.354E-13      0.000E+00      1.830E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
         12.001         551.150       9.993E-01      8.986E-06      0.000E+00      2.979E-09      8.836E-08      0.000E+00      7.100E-08      0.000E+00      8.941E-10      0.000E+00      9.460E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.365E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.999E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.831E-08      1.671E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.886E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.607E-14      7.674E-09      0.000E+00      0.000E+00      1.721E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.428E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.330E-13      0.000E+00      9.741E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
         14.001         551.650       9.988E-01      1.532E-05      0.000E+00      1.157E-08      2.490E-07      0.000E+00      2.224E-07      0.000E+00      3.476E-09      0.000E+00      2.790E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.709E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.855E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.395E-07      5.084E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.396E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.148E-14      1.696E-08      0.000E+00      0.000E+00      3.936E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.422E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.156E-12      0.000E+00      5.426E-10      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
         16.001         552.150       9.979E-01      2.586E-05      0.000E+00      4.238E-08      6.661E-07      0.000E+00      6.690E-07      0.000E+00      1.275E-08      0.000E+00      8.037E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.964E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.506E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.480E-07      1.494E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.796E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.060E-13      3.796E-08      0.000E+00      0.000E+00      8.342E-14      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.701E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.101E-12      0.000E+00      3.044E-09      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.000E+00
         18.001         552.650       9.964E-01      4.305E-05      0.000E+00      1.395E-07      1.639E-06      0.000E+00      1.872E-06      0.000E+00      4.199E-08      0.000E+00      2.193E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.986E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.884E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.965E-06      4.102E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.126E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.476E-13      8.750E-08      0.000E+00      0.000E+00      1.581E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.343E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.778E-12      0.000E+00      1.619E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.999E-01
         20.000         553.150       9.939E-01      7.019E-05      0.000E+00      4.027E-07      3.666E-06      0.000E+00      4.766E-06      0.000E+00      1.214E-07      0.000E+00      5.546E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.546E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.639E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.744E-06      1.030E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.340E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.951E-13      2.076E-07      0.000E+00      0.000E+00      2.707E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.660E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.023E-11      0.000E+00      7.730E-08      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.999E-01
         22.000         553.650       9.897E-01      1.114E-04      0.000E+00      1.028E-06      7.545E-06      0.000E+00      1.103E-05      0.000E+00      3.102E-07      0.000E+00      1.298E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.802E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.137E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.896E-05      2.361E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.877E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.512E-13      4.991E-07      0.000E+00      0.000E+00      4.317E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.743E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.464E-11      0.000E+00      3.218E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.998E-01
         24.000         554.150       9.828E-01      1.709E-04      0.000E+00      2.364E-06      1.454E-05      0.000E+00      2.331E-05      0.000E+00      7.141E-07      0.000E+00      2.823E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.393E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.327E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.680E-05      4.985E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.553E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.217E-13      1.186E-06      0.000E+00      0.000E+00      6.580E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.172E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.027E-11      0.000E+00      1.159E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.995E-01
         26.000         554.650       9.718E-01      2.516E-04      0.000E+00      4.972E-06      2.658E-05      0.000E+00      4.529E-05      0.000E+00      1.503E-06      0.000E+00      5.739E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.747E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.681E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.819E-04      9.756E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.388E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.139E-13      2.730E-06      0.000E+00      0.000E+00      9.708E-13      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.108E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.734E-11      0.000E+00      3.616E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.991E-01
         28.000         555.150       9.549E-01      3.527E-04      0.000E+00      9.632E-06      4.638E-05      0.000E+00      8.098E-05      0.000E+00      2.915E-06      0.000E+00      1.090E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.705E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.958E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.865E-04      1.774E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.374E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.346E-13      5.967E-06      0.000E+00      0.000E+00      1.389E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.812E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.577E-11      0.000E+00      9.829E-06      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.983E-01
         30.000         555.650       9.301E-01      4.673E-04      0.000E+00      1.721E-05      7.704E-05      0.000E+00      1.330E-04      0.000E+00      5.213E-06      0.000E+00      1.926E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.066E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.595E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      7.386E-04      2.990E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.450E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.883E-13      1.217E-05      0.000E+00      0.000E+00      1.918E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      3.277E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      4.502E-11      0.000E+00      2.336E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.970E-01
         32.000         556.150       8.961E-01      5.808E-04      0.000E+00      2.829E-05      1.212E-04      0.000E+00      2.000E-04      0.000E+00      8.580E-06      0.000E+00      3.150E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.213E-03      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      2.611E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      1.271E-03      4.653E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      6.489E-11      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      8.739E-13      2.286E-05      0.000E+00      0.000E+00      2.532E-12      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.380E-04      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      5.397E-11      0.000E+00      4.867E-05      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      9.952E-01
