        Time(s)         Temp(K)     Mc(t)/Mc(o)              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42             43             44             45             46             47             48             49             50             51             52             53             54             55             56             57             58             59             60             61             62             63             64             65             66             67             68             69             70             71             72             73             74             75             76             77             78             79             80             81             82             83             84             85             86             87             88             89             90             91             92             93             94             95             96             97             98             99            100            101            102            103            104            105            106            107            108            109            110            111            112            113            114            115            116            117            118            119            120            121            122            123            124            125            126            127            128            129            130            131            132            133            134            135            136            137            138            139            140            141            142            143            144            145            146            147            148            149            150            151            152            153            154            155            156            157
          0.000         548.150       1.000E+00      5.587E-07      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00      0.000E+00
          2.001         548.650       1.000E+00      5.797E-07      7.162E-09      1.279E-06      1.279E-06     -4.447E-06      7.922E-07      1.722E-06      2.901E-07     -1.637E-06      3.642E-12      4.540E-12      1.861E-06      1.861E-06      1.861E-06      1.010E-09      3.383E-10      3.383E-10      8.058E-13      4.454E-12      2.401E-12      4.459E-12      2.401E-12      3.404E-10      3.266E-12      3.281E-12     -3.327E-12      2.812E-12      1.861E-06      5.905E-10      5.905E-10      5.905E-10      4.194E-10      4.194E-10      4.194E-10      8.246E-16      8.247E-16      3.289E-18      3.289E-18      6.806E-10      2.411E-06     -5.984E-07      1.148E-09      2.257E-11      2.017E-11      2.017E-11      2.492E-10      2.492E-10      2.491E-10      5.721E-11      2.816E-19      5.381E-17      1.097E-09      1.097E-09      2.535E-12      6.406E-21      1.030E-21      1.034E-21     -1.034E-21      3.189E-12      3.189E-12      3.189E-12      3.099E-16      4.804E-16     -1.928E-18      8.643E-19     -1.010E-08      1.871E-06      5.136E-12      5.136E-12      5.136E-12      7.281E-12      7.281E-12      7.281E-12      3.268E-09      3.268E-09      3.268E-09      6.976E-07      6.955E-07      1.583E-12      1.508E-11      1.584E-06      9.571E-10      1.925E-10      3.833E-11      2.813E-14      3.232E-18      4.719E-13      4.404E-11      7.724E-09      7.723E-09      7.723E-09      1.756E-07      1.399E-09      1.721E-22      3.394E-22      3.648E-18      3.648E-18      3.648E-18     -2.943E-18     -2.943E-18      4.847E-24      5.000E-24      6.032E-07      1.817E-07      1.801E-16      1.798E-16      7.963E-07      7.962E-07      7.962E-07      7.082E-07     -8.719E-13      1.143E-14      7.082E-07      1.143E-14      1.143E-14      1.327E-16      5.136E-12      5.671E-12      4.476E-12      4.476E-12      7.281E-12      3.232E-14      3.232E-14      3.232E-14      3.393E-14      9.084E-15      9.083E-15      9.083E-15      1.587E-06      4.353E-13      4.353E-13      3.692E-19      8.804E-13      4.072E-11      4.071E-11     -1.095E-14      8.804E-13      3.842E-09      3.881E-09      5.000E-24     -6.917E-32      2.522E-31      5.796E-13      2.206E-22     -6.008E-07      8.080E-14      8.057E-14      8.462E-07      9.093E-14      1.498E-15      1.396E-11      2.423E-11      4.079E-16     -1.086E-11      2.343E-10      9.473E-11      9.400E-11
          4.001         549.150       9.999E-01      6.013E-07      3.235E-08      1.935E-06      1.935E-06     -9.923E-06      1.588E-06      3.610E-06     -1.552E-06     -3.116E-06      2.261E-12      2.818E-12      2.534E-06      2.534E-06      2.534E-06      3.953E-09      3.057E-10      3.057E-10      8.382E-12      6.757E-11      3.645E-11      6.759E-11      3.645E-11      3.078E-10      3.401E-12      3.407E-12     -3.431E-12      3.501E-12      2.534E-06      2.303E-09      2.303E-09      2.303E-09      1.650E-09      1.650E-09      1.650E-09      1.698E-15      1.698E-15      1.940E-17      1.940E-17      6.156E-10      2.632E-06     -1.265E-07      5.767E-09      5.300E-11      5.063E-11      5.063E-11      1.737E-09      1.737E-09      1.737E-09      9.212E-11      3.337E-19      3.252E-17      1.206E-09      1.206E-09      1.931E-12      4.143E-20      1.282E-20      1.284E-20     -1.284E-20      4.479E-11      4.479E-11      4.479E-11      2.900E-15      3.063E-15     -1.965E-18      5.567E-18     -1.500E-08      2.549E-06      3.583E-10      3.583E-10      3.583E-10      4.776E-10      4.776E-10      4.776E-10      1.005E-08      1.005E-08      1.005E-08      4.928E-07      4.933E-07      2.546E-12      2.420E-11      3.252E-06      4.902E-09      8.668E-10      3.074E-11      3.402E-14      1.170E-17      3.898E-13      3.622E-11      1.798E-08      1.798E-08      1.798E-08      7.909E-08     -3.292E-09      4.617E-21      8.294E-21      2.157E-16      2.157E-16      2.157E-16     -2.114E-16     -2.114E-16      1.313E-22      1.331E-22      1.846E-06      5.567E-07      1.963E-16      1.963E-16      2.417E-06      2.417E-06      2.417E-06      4.960E-07     -2.142E-13      5.206E-14      4.960E-07      5.206E-14      5.206E-14      1.216E-14      3.583E-10      3.585E-10      3.452E-10      3.452E-10      4.776E-10      3.756E-11      3.755E-11      3.755E-11      3.756E-11      3.054E-12      3.054E-12      3.054E-12      3.263E-06      4.189E-12      4.189E-12      1.023E-17      4.532E-12      3.764E-11      3.764E-11     -1.285E-15      4.532E-12      8.947E-09      9.036E-09      1.331E-22     -2.072E-30     -2.995E-30      6.133E-11      2.241E-21     -2.310E-06      2.933E-12      2.931E-12      2.774E-06      1.921E-11      4.987E-14      3.024E-10      3.499E-10      2.809E-15     -1.089E-10      9.626E-10      6.460E-10      6.456E-10
          6.000         549.650       9.999E-01      6.234E-07      6.271E-08      3.543E-06      3.543E-06     -3.358E-05      5.083E-06      1.211E-05     -1.217E-05     -1.226E-05      1.665E-12      2.075E-12      4.157E-06      4.157E-06      4.157E-06      9.534E-09      3.967E-10      3.967E-10      2.738E-11      3.897E-10      2.103E-10      3.897E-10      2.103E-10      3.970E-10      2.733E-12      2.738E-12     -2.759E-12      2.897E-12      4.158E-06      5.527E-09      5.528E-09      5.528E-09      4.006E-09      4.006E-09      4.006E-09      5.065E-15      5.065E-15      8.434E-17      8.434E-17      7.939E-10      3.974E-06      1.115E-07      1.662E-08      1.855E-10      1.736E-10      1.736E-10      8.700E-09      8.700E-09      8.700E-09      2.483E-10      7.564E-19      6.617E-17      1.833E-09      1.833E-09      2.410E-12      9.966E-20      4.432E-20      4.439E-20     -4.440E-20      2.376E-10      2.376E-10      2.376E-10      1.221E-14      1.273E-14     -5.655E-18      1.333E-17     -1.570E-08      4.173E-06      3.111E-09      3.111E-09      3.111E-09      3.354E-09      3.354E-09      3.354E-09      1.583E-08      1.583E-08      1.583E-08      4.151E-07      4.151E-07      4.930E-12      4.677E-11      4.755E-06      1.421E-08      2.402E-09      6.763E-11      1.104E-13      4.029E-17      7.134E-13      6.601E-11      4.745E-08      4.745E-08      4.745E-08      1.009E-07     -7.722E-09      1.830E-20      3.928E-20      1.913E-15      1.913E-15      1.913E-15     -1.903E-15     -1.903E-15      5.155E-22      5.230E-22      2.947E-06      8.899E-07      2.196E-16      2.195E-16      3.852E-06      3.852E-06      3.852E-06      4.249E-07     -1.476E-13      1.507E-13      4.249E-07      1.507E-13      1.507E-13      1.085E-13      3.111E-09      3.087E-09      3.034E-09      3.034E-09      3.354E-09      1.187E-09      1.187E-09      1.187E-09      1.187E-09      5.023E-11      5.023E-11      5.023E-11      4.771E-06      1.670E-11      1.670E-11      6.005E-17      1.732E-11      6.560E-11      6.560E-11     -1.354E-15      1.732E-11      2.361E-08      2.384E-08      5.230E-22     -1.264E-29      3.299E-29      2.636E-10      8.016E-21     -3.697E-06      1.776E-11      1.775E-11      4.308E-06      1.187E-10      2.886E-13      1.356E-09      1.310E-09      4.906E-15     -2.175E-10      1.528E-09      1.047E-09      1.046E-09
          8.000         550.150       9.998E-01      6.459E-07      1.110E-07      6.773E-06      6.773E-06     -1.548E-04      2.278E-05      5.558E-05     -7.006E-05     -7.145E-05      1.320E-12      1.644E-12      7.397E-06      7.397E-06      7.397E-06      2.363E-08      5.790E-10      5.790E-10      6.328E-11      1.662E-09      8.974E-10      1.662E-09      8.974E-10      5.782E-10      2.156E-12      2.163E-12     -2.190E-12      2.282E-12      7.398E-06      1.361E-08      1.361E-08      1.361E-08      1.002E-08      1.002E-08      1.002E-08      1.715E-14      1.715E-14      3.934E-16      3.934E-16      1.156E-09      7.093E-06      1.228E-07      5.056E-08      7.626E-10      7.127E-10      7.128E-10      4.919E-08      4.919E-08      4.919E-08      8.269E-10      2.396E-18      9.370E-17      3.295E-09      3.295E-09      4.124E-12      1.812E-19      9.767E-20      9.791E-20     -9.795E-20      9.606E-10      9.606E-10      9.606E-10      4.063E-14      4.139E-14     -3.206E-17      2.414E-17     -2.209E-08      7.420E-06      1.375E-08      1.375E-08      1.375E-08      1.056E-08      1.056E-08      1.056E-08      2.931E-08      2.931E-08      2.931E-08      4.503E-07      4.502E-07      1.115E-11      1.055E-10      7.909E-06      4.312E-08      7.389E-09      1.660E-10      4.956E-13      1.679E-16      1.729E-12      1.593E-10      1.573E-07      1.572E-07      1.572E-07      1.843E-07     -1.846E-08      3.735E-20      9.987E-20      8.807E-15      8.807E-15      8.807E-15     -8.784E-15     -8.785E-15      1.037E-21      1.061E-21      5.371E-06      1.624E-06      2.960E-16      2.959E-16      7.017E-06      7.017E-06      7.017E-06      4.553E-07     -1.659E-13      5.200E-13      4.553E-07      5.200E-13      5.200E-13      4.890E-13      1.375E-08      1.373E-08      1.335E-08      1.335E-08      1.056E-08      9.720E-09      9.719E-09      9.719E-09      9.719E-09      3.778E-10      3.778E-10      3.778E-10      7.938E-06      6.809E-11      6.809E-11      3.419E-16      6.962E-11      1.588E-10      1.588E-10     -2.910E-15      6.962E-11      7.823E-08      7.901E-08      1.061E-21     -7.753E-29      6.593E-28      8.991E-10      2.583E-20     -6.673E-06      8.953E-11      8.948E-11      7.596E-06      5.090E-10      1.400E-12      5.288E-09      4.760E-09      9.232E-15     -3.705E-10      2.447E-09      1.697E-09      1.696E-09
         10.001         550.650       9.996E-01      6.683E-07      1.930E-07      1.296E-05      1.296E-05     -7.351E-04      1.152E-04      2.838E-04     -3.847E-04     -3.866E-04      1.073E-12      1.337E-12      1.358E-05      1.358E-05      1.358E-05      5.931E-08      8.692E-10      8.693E-10      1.277E-10      6.199E-09      3.349E-09      6.199E-09      3.349E-09      8.671E-10      1.763E-12      1.769E-12     -1.791E-12      1.848E-12      1.358E-05      3.383E-08      3.383E-08      3.383E-08      2.548E-08      2.548E-08      2.548E-08      5.974E-14      5.975E-14      1.861E-15      1.861E-15      1.734E-09      1.312E-05     -1.280E-07      1.561E-07      3.256E-09      3.046E-09      3.046E-09      2.842E-07      2.842E-07      2.842E-07      2.860E-09      8.150E-18      2.277E-16      6.138E-09      6.138E-09      7.563E-12      2.929E-19      1.771E-19      1.776E-19     -1.777E-19      3.477E-09      3.477E-09      3.477E-09      1.205E-13      1.215E-13     -5.298E-17      3.887E-17     -3.296E-08      1.361E-05      3.505E-08      3.505E-08      3.505E-08      2.584E-08      2.584E-08      2.584E-08      5.630E-08      5.629E-08      5.629E-08      5.153E-07      5.152E-07      2.615E-11      2.470E-10      1.358E-05      1.327E-07      2.332E-08      4.200E-10      2.384E-12      7.361E-16      4.482E-12      4.112E-10      5.475E-07      5.474E-07      5.474E-07      3.596E-07     -4.487E-08      4.443E-20      1.804E-19      2.372E-14      2.372E-14      2.372E-14     -2.368E-14     -2.368E-14      1.231E-21      1.262E-21      1.006E-05      3.044E-06      4.172E-16      4.171E-16      1.313E-05      1.313E-05      1.313E-05      5.094E-07     -2.053E-13      1.839E-12      5.094E-07      1.839E-12      1.839E-12      1.264E-12      3.505E-08      3.504E-08      3.344E-08      3.344E-08      2.584E-08      2.669E-08      2.669E-08      2.669E-08      2.669E-08      1.593E-09      1.593E-09      1.593E-09      1.364E-05      2.764E-10      2.764E-10      1.904E-15      2.805E-10      4.120E-10      4.120E-10     -6.706E-15      2.805E-10      2.724E-07      2.751E-07      1.262E-21     -4.862E-28      3.684E-27      2.933E-09      8.090E-20     -1.224E-05      4.348E-10      4.345E-10      1.369E-05      1.990E-09      6.514E-12      1.973E-08      1.739E-08      1.802E-14     -5.924E-10      3.865E-09      2.714E-09      2.713E-09
         12.001         551.150       9.993E-01      6.892E-07      3.305E-07      2.453E-05      2.453E-05     -3.723E-03      6.017E-04      1.489E-03     -2.066E-03     -2.068E-03      8.827E-13      1.099E-12      2.510E-05      2.510E-05      2.510E-05      1.475E-07      1.309E-09      1.309E-09      2.389E-10      2.129E-08      1.151E-08      2.129E-08      1.151E-08      1.305E-09      1.549E-12      1.555E-12     -1.577E-12      1.593E-12      2.511E-05      8.276E-08      8.276E-08      8.276E-08      6.474E-08      6.474E-08      6.474E-08      2.081E-13      2.082E-13      8.662E-15      8.662E-15      2.610E-09      2.403E-05     -1.243E-06      4.692E-07      1.369E-08      1.286E-08      1.286E-08      1.595E-06      1.595E-06      1.595E-06      9.719E-09      2.718E-17      3.275E-16      1.132E-08      1.132E-08      1.376E-11      4.438E-19      2.887E-19      2.895E-19     -2.897E-19      1.175E-08      1.175E-08      1.175E-08      3.321E-13      3.339E-13     -9.743E-17      5.863E-17     -4.926E-08      2.516E-05      8.358E-08      8.358E-08      8.358E-08      6.499E-08      6.499E-08      6.499E-08      1.113E-07      1.113E-07      1.113E-07      6.151E-07      6.149E-07      6.127E-11      5.776E-10      2.303E-05      3.967E-07      7.236E-08      1.082E-09      1.128E-11      3.160E-15      1.151E-11      1.052E-09      1.859E-06      1.859E-06      1.859E-06      6.784E-07     -1.086E-07      5.106E-20      2.856E-19      6.149E-14      6.149E-14      6.149E-14     -6.143E-14     -6.143E-14      1.409E-21      1.448E-21      1.884E-05      5.710E-06      5.980E-16      5.977E-16      2.460E-05      2.460E-05      2.460E-05      5.771E-07     -2.544E-13      6.455E-12      5.771E-07      6.455E-12      6.455E-12      3.054E-12      8.358E-08      8.357E-08      7.743E-08      7.743E-08      6.499E-08      6.549E-08      6.549E-08      6.549E-08      6.549E-08      6.132E-09      6.132E-09      6.132E-09      2.315E-05      9.555E-10      9.555E-10      8.891E-15      9.666E-10      1.061E-09      1.061E-09     -1.336E-14      9.666E-10      9.248E-07      9.340E-07      1.449E-21     -2.981E-27      2.300E-26      9.495E-09      2.498E-19     -2.212E-05      2.095E-09      2.093E-09      2.446E-05      7.509E-09      2.965E-11      7.168E-08      6.311E-08      3.530E-14     -9.161E-10      5.959E-09      4.255E-09      4.253E-09
         14.001         551.650       9.988E-01      7.066E-07      5.433E-07      4.501E-05      4.501E-05     -1.819E-02      2.985E-03      7.402E-03     -1.035E-02     -1.039E-02      7.346E-13      9.147E-13      4.543E-05      4.543E-05      4.543E-05      3.495E-07      1.945E-09      1.945E-09      4.193E-10      6.684E-08      3.616E-08      6.685E-08      3.616E-08      1.940E-09      1.594E-12      1.602E-12     -1.629E-12      1.581E-12      4.546E-05      1.908E-07      1.908E-07      1.908E-07      1.587E-07      1.587E-07      1.587E-07      6.926E-13      6.926E-13      3.745E-14      3.745E-14      3.878E-09      4.120E-05     -5.292E-06      1.261E-06      5.198E-08      4.922E-08      4.922E-08      7.884E-06      7.884E-06      7.884E-06      3.015E-08      7.948E-17      9.144E-16      1.955E-08      1.955E-08      2.276E-11      6.401E-19      4.399E-19      4.415E-19     -4.418E-19      3.658E-08      3.658E-08      3.658E-08      8.501E-13      8.539E-13     -1.838E-16      8.422E-17     -6.999E-08      4.553E-05      1.914E-07      1.914E-07      1.914E-07      1.588E-07      1.588E-07      1.588E-07      2.260E-07      2.259E-07      2.259E-07      7.843E-07      7.840E-07      1.348E-10      1.268E-09      3.643E-05      1.056E-06      2.054E-07      2.488E-09      4.734E-11      1.192E-14      2.690E-11      2.447E-09      5.587E-06      5.587E-06      5.587E-06      1.124E-06     -2.468E-07      6.064E-20      4.301E-19      1.594E-13      1.594E-13      1.594E-13     -1.593E-13     -1.593E-13      1.663E-21      1.719E-21      3.438E-05      1.044E-05      8.583E-16      8.580E-16      4.488E-05      4.488E-05      4.488E-05      6.596E-07     -2.982E-13      2.152E-11      6.596E-07      2.152E-11      2.152E-11      7.089E-12      1.914E-07      1.914E-07      1.698E-07      1.698E-07      1.588E-07      1.592E-07      1.592E-07      1.592E-07      1.592E-07      2.160E-08      2.160E-08      2.160E-08      3.667E-05      2.482E-09      2.482E-09      3.034E-14      2.509E-09      2.493E-09      2.493E-09     -1.978E-14      2.508E-09      2.780E-06      2.807E-06      1.719E-21     -1.602E-26      1.659E-25      3.100E-08      7.555E-19     -3.835E-05      9.905E-09      9.899E-09      4.217E-05      2.745E-08      1.285E-10      2.499E-07      2.203E-07      6.619E-14     -1.391E-09      8.798E-09      6.419E-09      6.416E-09
         16.001         552.150       9.979E-01      7.171E-07      8.212E-07      7.712E-05      7.712E-05     -7.555E-02      1.257E-02      3.120E-02     -4.371E-02     -4.379E-02      6.253E-13      7.786E-13      7.727E-05      7.727E-05      7.727E-05      7.425E-07      2.790E-09      2.790E-09      6.756E-10      1.818E-07      9.840E-08      1.818E-07      9.840E-08      2.783E-09      2.095E-12      2.102E-12     -2.125E-12      1.985E-12      7.737E-05      3.892E-07      3.892E-07      3.892E-07      3.533E-07      3.533E-07      3.533E-07      2.044E-12      2.044E-12      1.370E-13      1.370E-13      5.563E-09      6.150E-05     -1.711E-05      2.678E-06      1.573E-07      1.509E-07      1.509E-07      2.973E-05      2.973E-05      2.973E-05      7.682E-08      1.761E-16      4.306E-15      2.938E-08      2.938E-08      3.086E-11      8.744E-19      6.358E-19      6.374E-19     -6.376E-19      9.908E-08      9.908E-08      9.908E-08      1.945E-12      1.950E-12     -1.490E-16      1.146E-16     -8.856E-08      7.746E-05      3.896E-07      3.896E-07      3.896E-07      3.535E-07      3.535E-07      3.535E-07      4.469E-07      4.467E-07      4.467E-07      1.056E-06      1.056E-06      2.565E-10      2.408E-09      5.020E-05      2.196E-06      4.816E-07      4.774E-09      1.557E-10      3.466E-14      5.220E-11      4.729E-09      1.331E-05      1.331E-05      1.331E-05      1.496E-06     -4.834E-07      7.258E-20      6.212E-19      3.826E-13      3.826E-13      3.826E-13     -3.825E-13     -3.825E-13      2.010E-21      2.056E-21      5.875E-05      1.786E-05      1.209E-15      1.209E-15      7.670E-05      7.670E-05      7.670E-05      7.598E-07     -3.181E-13      6.336E-11      7.597E-07      6.336E-11      6.336E-11      1.462E-11      3.896E-07      3.896E-07      3.274E-07      3.274E-07      3.535E-07      3.537E-07      3.537E-07      3.537E-07      3.537E-07      6.214E-08      6.214E-08      6.214E-08      5.069E-05      4.933E-09      4.933E-09      7.558E-14      4.985E-09      4.884E-09      4.884E-09     -2.150E-14      4.985E-09      6.621E-06      6.687E-06      2.056E-21     -6.522E-26      4.833E-25      1.011E-07      2.169E-18     -6.230E-05      4.348E-08      4.346E-08      7.185E-05      9.441E-08      4.964E-10      7.973E-07      6.983E-07      1.125E-13     -2.099E-09      1.388E-08      9.091E-09      9.088E-09
         18.001         552.650       9.964E-01      7.166E-07      1.106E-06      1.189E-04      1.189E-04     -2.461E-01      4.092E-02      1.017E-01     -1.425E-01     -1.424E-01      5.475E-13      6.814E-13      1.187E-04      1.187E-04      1.187E-04      1.342E-06      3.762E-09      3.762E-09      9.662E-10      4.012E-07      2.173E-07      4.012E-07      2.173E-07      3.755E-09      3.260E-12      3.278E-12     -3.336E-12      3.040E-12      1.189E-04      6.675E-07      6.675E-07      6.675E-07      6.745E-07      6.745E-07      6.745E-07      4.979E-12      4.979E-12      3.896E-13      3.896E-13      7.504E-09      7.707E-05     -4.089E-05      4.173E-06      3.507E-07      3.412E-07      3.412E-07      7.785E-05      7.785E-05      7.785E-05      1.502E-07      2.749E-16      1.907E-15      3.708E-08      3.708E-08      3.311E-11      1.106E-18      8.609E-19      8.645E-19     -8.650E-19      2.182E-07      2.182E-07      2.182E-07      3.764E-12      3.781E-12     -3.738E-16      1.443E-16     -9.575E-08      1.190E-04      6.678E-07      6.678E-07      6.678E-07      6.745E-07      6.745E-07      6.745E-07      7.900E-07      7.895E-07      7.895E-07      1.424E-06      1.423E-06      4.042E-10      3.787E-09      5.876E-05      3.292E-06      8.802E-07      7.888E-09      3.761E-10      7.333E-14      8.141E-11      7.345E-09      2.399E-05      2.399E-05      2.399E-05      1.556E-06     -7.775E-07      8.512E-20      8.532E-19      7.902E-13      7.902E-13      7.902E-13     -7.901E-13     -7.901E-13      2.321E-21      2.410E-21      9.051E-05      2.756E-05      1.630E-15      1.629E-15      1.182E-04      1.182E-04      1.182E-04      8.713E-07     -3.089E-13      1.536E-10      8.712E-07      1.536E-10      1.536E-10      2.539E-11      6.678E-07      6.678E-07      5.315E-07      5.315E-07      6.745E-07      6.747E-07      6.747E-07      6.747E-07      6.747E-07      1.363E-07      1.363E-07      1.363E-07      5.972E-05      7.789E-09      7.789E-09      1.409E-13      7.871E-09      7.722E-09      7.722E-09     -1.842E-14      7.871E-09      1.194E-05      1.206E-05      2.411E-21     -1.852E-25      2.524E-24      3.114E-07      5.704E-18     -9.330E-05      1.625E-07      1.624E-07      9.874E-05      2.907E-07      1.593E-09      2.202E-06      1.894E-06      1.688E-13     -3.141E-09      1.430E-08      1.196E-08      1.196E-08
         20.000         553.150       9.939E-01      7.022E-07      1.334E-06      1.631E-04      1.631E-04     -6.118E-01      1.023E-01      2.543E-01     -3.564E-01     -3.562E-01      4.877E-13      6.070E-13      1.625E-04      1.625E-04      1.625E-04      2.045E-06      4.681E-09      4.681E-09      1.202E-09      6.984E-07      3.784E-07      6.984E-07      3.784E-07      4.676E-09      5.092E-12      5.101E-12     -5.131E-12      4.782E-12      1.629E-04      9.607E-07      9.607E-07      9.607E-07      1.084E-06      1.084E-06      1.084E-06      9.799E-12      9.799E-12      8.472E-13      8.472E-13      9.341E-09      8.376E-05     -7.319E-05      4.959E-06      5.949E-07      5.850E-07      5.851E-07      1.464E-04      1.464E-04      1.464E-04      2.310E-07      3.229E-16     -1.971E-15      4.058E-08      4.058E-08      3.001E-11      1.262E-18      1.079E-18      1.081E-18     -1.081E-18      3.796E-07      3.796E-07      3.796E-07      5.962E-12      5.971E-12     -1.571E-17      1.640E-16     -8.964E-08      1.630E-04      9.610E-07      9.610E-07      9.610E-07      1.084E-06      1.084E-06      1.084E-06      1.192E-06      1.191E-06      1.191E-06      1.826E-06      1.825E-06      5.429E-10      5.076E-09      6.081E-05      3.664E-06      1.295E-06      1.038E-08      6.913E-10      1.189E-13      1.065E-10      9.569E-09      3.434E-05      3.434E-05      3.434E-05      1.291E-06     -1.058E-06      9.525E-20      1.094E-18      1.363E-12      1.363E-12      1.363E-12     -1.363E-12     -1.363E-12      2.666E-21      2.696E-21      1.241E-04      3.782E-05      2.066E-15      2.066E-15      1.620E-04      1.620E-04      1.620E-04      9.730E-07     -2.799E-13      3.004E-10      9.727E-07      3.004E-10      3.004E-10      3.701E-11      9.609E-07      9.610E-07      7.299E-07      7.299E-07      1.084E-06      1.084E-06      1.084E-06      1.084E-06      1.084E-06      2.311E-07      2.311E-07      2.311E-07      6.250E-05      1.032E-08      1.032E-08      2.087E-13      1.043E-08      1.026E-08      1.026E-08     -1.391E-14      1.043E-08      1.708E-05      1.725E-05      2.696E-21     -3.823E-25      1.728E-24      8.390E-07      1.352E-17     -1.273E-04      4.877E-07      4.876E-07      1.314E-04      7.701E-07      4.151E-09      5.122E-06      4.287E-06      2.269E-13     -4.571E-09      1.703E-08      1.473E-08      1.472E-08
         22.000         553.650       9.897E-01      6.728E-07      1.481E-06      2.009E-04      2.009E-04     -1.237E+00      2.070E-01      5.149E-01     -7.218E-01     -7.215E-01      4.342E-13      5.402E-13      1.999E-04      1.999E-04      1.999E-04      2.690E-06      5.346E-09      5.346E-09      1.310E-09      9.785E-07      5.304E-07      9.785E-07      5.304E-07      5.343E-09      7.080E-12      7.079E-12     -7.077E-12      6.794E-12      2.004E-04      1.197E-06      1.197E-06      1.197E-06      1.493E-06      1.493E-06      1.493E-06      1.592E-11      1.592E-11      1.461E-12      1.461E-12      1.067E-08      8.296E-05     -1.052E-04      4.880E-06      8.293E-07      8.215E-07      8.215E-07      2.167E-04      2.167E-04      2.167E-04      2.973E-07      3.150E-16     -2.078E-15      4.047E-08      4.047E-08      2.471E-11      1.289E-18      1.226E-18      1.226E-18     -1.226E-18      5.317E-07      5.317E-07      5.317E-07      7.761E-12      7.759E-12      1.888E-16      1.668E-16     -7.460E-08      2.005E-04      1.197E-06      1.197E-06      1.197E-06      1.493E-06      1.493E-06      1.493E-06      1.549E-06      1.548E-06      1.548E-06      2.178E-06      2.178E-06      6.538E-10      6.101E-09      5.850E-05      3.242E-06      1.638E-06      1.229E-08      1.040E-09      1.617E-13      1.242E-10      1.111E-08      4.209E-05      4.209E-05      4.209E-05      8.150E-07     -1.285E-06      1.003E-19      1.284E-18      1.991E-12      1.991E-12      1.991E-12     -1.991E-12     -1.991E-12      2.843E-21      2.838E-21      1.528E-04      4.663E-05      2.449E-15      2.448E-15      1.995E-04      1.995E-04      1.995E-04      1.037E-06     -2.398E-13      4.844E-10      1.037E-06      4.844E-10      4.844E-10      4.670E-11      1.197E-06      1.197E-06      8.750E-07      8.750E-07      1.493E-06      1.494E-06      1.494E-06      1.494E-06      1.494E-06      3.219E-07      3.219E-07      3.219E-07      6.124E-05      1.221E-08      1.221E-08      2.648E-13      1.233E-08      1.216E-08      1.216E-08     -1.008E-14      1.233E-08      2.094E-05      2.115E-05      2.839E-21     -6.293E-25     -1.359E-24      1.906E-06      2.909E-17     -1.578E-04      1.182E-06      1.182E-06      1.707E-04      1.735E-06      8.971E-09      1.010E-05      8.198E-06      2.797E-13     -6.311E-09      2.342E-08      1.703E-08      1.702E-08
